dropped,mean,std
aux_power_w,1.7287988519146176,0.4336150116934207
temp_c,1.5868255389771786,0.7523074574178272
accel_pos_mean,0.9307765491480323,0.1500022291939433
mean_speed_kmh,0.7271129599785132,0.22722035855235814
elev_gain_m,0.5320325057585737,0.24704897865237252
soc_start,0.3246933816276272,0.1466627609990995
stops_per_km,0.24192196541562497,0.27669629411130947
abs_grade_pct,0.21781119044559638,0.2719767356286698
speed_limit_kmh,0.19516268791149174,0.2738676949632188
speed_deficit_kmh,-0.015245630089930629,0.08781237839484257
