model,variant,MAE_mean,MAE_std,MAE_count,RMSE_mean,RMSE_std,RMSE_count,MAPE_mean,MAPE_std,MAPE_count,medAPE_mean,medAPE_std,medAPE_count,range_km_MAE_mean,range_km_MAE_std,range_km_MAE_count,n_test_mean,n_test_std,n_test_count,n_features_mean,n_features_std,n_features_count
gbm,full,24.10161374930932,2.0989578965740745,5,34.41340242836993,3.925112762235437,5,18.06377568280877,1.4178086736892297,5,12.128608095670296,0.5487459469997564,5,24.061000974259922,2.5559994438580826,5,570.8,86.03603896042634,5,15.0,0.0,5
gbm,minus_route,32.196317844885364,2.300495154784489,5,43.41884652942427,3.772834010530644,5,25.451609135920904,2.359963797722506,5,16.668613616335726,0.763366526042812,5,32.883950942647985,3.1519998748301647,5,570.8,86.03603896042634,5,7.0,0.0,5
gbm,minus_state,29.219565484384077,2.980812541053598,5,40.60159803914745,5.670365158953131,5,21.625037668636452,1.6389975107229582,5,14.825853149031289,0.9136018875348294,5,27.962453085758206,2.8959827136385563,5,570.8,86.03603896042634,5,11.0,0.0,5
gbm,minus_traffic,23.927035187155333,2.2961998437568267,5,34.400068683082516,4.214937019416614,5,18.001844566948556,1.5507452612603352,5,11.789206193089111,0.8602608609094659,5,23.994384127722167,2.5735573520226125,5,570.8,86.03603896042634,5,13.0,0.0,5
gbm,minus_weather,25.511836569755783,1.8339412424177655,5,36.08747060933117,3.3660523035266876,5,19.52333153190557,1.8690379678956148,5,12.809199619229346,0.6612563806312318,5,25.61915624546402,2.9955506876649345,5,570.8,86.03603896042634,5,14.0,0.0,5
hybrid_physics_ml,full,19.15480579373813,1.2380611759685896,5,29.436368080827812,2.466900841574803,5,13.486577689182809,0.7917870779181595,5,9.438712715655292,0.34902165428906695,5,19.70789110378848,1.9295057720728843,5,570.8,86.03603896042634,5,15.0,0.0,5
hybrid_physics_ml,minus_route,27.96360148862563,1.5595909187770478,5,39.96266920084702,2.6573487802915774,5,20.677486268957914,1.3825287121812284,5,14.081222900996305,0.9385251021232187,5,29.45645489640293,2.4840464091907792,5,570.8,86.03603896042634,5,7.0,0.0,5
hybrid_physics_ml,minus_state,19.354546062064845,1.5552017921062513,5,29.911057688113534,2.9953879326482356,5,13.46042333974091,0.9674211067633415,5,9.873904896971439,0.6271890840748465,5,19.68143917382941,2.0964882655329173,5,570.8,86.03603896042634,5,11.0,0.0,5
hybrid_physics_ml,minus_traffic,19.07980267947996,1.301447454548784,5,29.415060936297003,2.5608585616907105,5,13.400409982439673,0.933989217011685,5,9.63310378292422,0.8545274710752158,5,19.575797237757378,1.963863003967699,5,570.8,86.03603896042634,5,13.0,0.0,5
hybrid_physics_ml,minus_weather,21.071100310574586,1.5206268360181265,5,31.404033900010923,2.786416678876449,5,15.028079816127127,1.190567585255568,5,10.723831078354841,0.7912900848805623,5,21.58422187617236,2.4728349567659116,5,570.8,86.03603896042634,5,14.0,0.0,5
physics_only,full,34.674462075480264,3.9198894255851022,5,48.2814646196788,3.984830435823459,5,23.1924098052976,0.9797777322188281,5,19.407951690642072,1.8476449936520383,5,33.59649427655647,1.5703177001147306,5,570.8,86.03603896042634,5,15.0,0.0,5
physics_only,minus_route,34.674462075480264,3.9198894255851022,5,48.2814646196788,3.984830435823459,5,23.1924098052976,0.9797777322188281,5,19.407951690642072,1.8476449936520383,5,33.59649427655647,1.5703177001147306,5,570.8,86.03603896042634,5,7.0,0.0,5
physics_only,minus_state,34.674462075480264,3.9198894255851022,5,48.2814646196788,3.984830435823459,5,23.1924098052976,0.9797777322188281,5,19.407951690642072,1.8476449936520383,5,33.59649427655647,1.5703177001147306,5,570.8,86.03603896042634,5,11.0,0.0,5
physics_only,minus_traffic,34.674462075480264,3.9198894255851022,5,48.2814646196788,3.984830435823459,5,23.1924098052976,0.9797777322188281,5,19.407951690642072,1.8476449936520383,5,33.59649427655647,1.5703177001147306,5,570.8,86.03603896042634,5,13.0,0.0,5
physics_only,minus_weather,34.674462075480264,3.9198894255851022,5,48.2814646196788,3.984830435823459,5,23.1924098052976,0.9797777322188281,5,19.407951690642072,1.8476449936520383,5,33.59649427655647,1.5703177001147306,5,570.8,86.03603896042634,5,14.0,0.0,5
random_forest,full,26.644973204518855,3.1699389485995177,5,37.550609001304714,5.593265795338484,5,20.16291915654791,1.6929169430006936,5,13.563889104015136,1.43140373364525,5,26.807657848957263,2.8825700000203445,5,570.8,86.03603896042634,5,15.0,0.0,5
random_forest,minus_route,31.280978100409506,2.765302600755414,5,42.84769551260137,4.689444721944066,5,24.835608924812224,2.110176424457681,5,16.036368493129224,0.8070043608478795,5,31.74448815751034,2.8145892351318533,5,570.8,86.03603896042634,5,7.0,0.0,5
random_forest,minus_state,29.816760549580046,3.352809130864892,5,42.18332262855656,6.364850749866799,5,22.34021791798945,1.9502989599116827,5,14.781131161127675,1.2083462058087264,5,28.641520237041266,3.38834098139415,5,570.8,86.03603896042634,5,11.0,0.0,5
random_forest,minus_traffic,26.679167179886047,3.323139552551245,5,37.62326045909687,5.7713438216294835,5,20.254676091989406,1.925669782046216,5,13.622278143167682,1.314715735053531,5,26.94446711922427,3.1363795398244094,5,570.8,86.03603896042634,5,13.0,0.0,5
random_forest,minus_weather,27.2015068124639,2.9597277610255204,5,38.08265135931494,5.183076836529066,5,20.728088662682005,1.7932207257226465,5,13.788902069057334,1.2231879192068469,5,27.444762518211224,2.9495065648732033,5,570.8,86.03603896042634,5,14.0,0.0,5
