model,protocol,MAE_mean,MAE_std,MAE_count,RMSE_mean,RMSE_std,RMSE_count,MAPE_mean,MAPE_std,MAPE_count,medAPE_mean,medAPE_std,medAPE_count,range_km_MAE_mean,range_km_MAE_std,range_km_MAE_count,n_test_mean,n_test_std,n_test_count
gbm,L0,22.64941577368698,0.4488984309782243,5,32.69270614842951,1.1638866243756227,5,15.903679499954213,0.6785351510344201,5,10.783254460254172,0.40643669066169896,5,20.60657812772534,1.1422243972523425,5,600.0,0.0,5
gbm,L1,24.10161374930932,2.0989578965740745,5,34.41340242836993,3.925112762235437,5,18.06377568280877,1.4178086736892297,5,12.128608095670296,0.5487459469997564,5,24.061000974259922,2.5559994438580826,5,570.8,86.03603896042634,5
gbm,L2,35.622069271309904,9.188673983313972,5,47.50742565335704,13.39334250123159,5,18.221725969846425,2.346867761525719,5,17.270495608990622,2.8267412881710863,5,21.101725595385087,3.8246370159184844,5,46.8,11.300442469213317,5
gbm,L3,40.22892969213548,0.0,5,50.19295539717005,0.0,5,30.242047484579007,0.0,5,22.540079688777862,0.0,5,34.18630939747897,0.0,5,480.0,0.0,5
gbm,L3b,42.777323136349516,0.0,5,53.37171448211039,0.0,5,31.297131876089622,0.0,5,23.48235790037928,0.0,5,35.77539111914043,0.0,5,480.0,0.0,5
hybrid_physics_ml,L0,16.72636542318411,0.5021650474757173,5,24.904369878403273,1.8978425639682577,5,11.32873178326357,0.268907295914521,5,8.398173729096161,0.5247756385824947,5,16.047980462449807,1.250149172636299,5,600.0,0.0,5
hybrid_physics_ml,L1,19.15480579373813,1.2380611759685896,5,29.436368080827812,2.466900841574803,5,13.486577689182809,0.7917870779181595,5,9.438712715655292,0.34902165428906695,5,19.70789110378848,1.9295057720728843,5,570.8,86.03603896042634,5
hybrid_physics_ml,L2,23.854730926065372,4.600461141970446,5,32.553832073212604,11.999977157208265,5,13.029124230211519,1.2861073690035485,5,10.867962975975267,1.4191119830462822,5,16.009637016091933,1.837151207557384,5,46.8,11.300442469213317,5
hybrid_physics_ml,L3,33.99248904772641,0.0,5,41.89982267309593,0.0,5,24.24526413102038,0.0,5,19.78681291996943,0.0,5,29.721739756293964,0.0,5,480.0,0.0,5
hybrid_physics_ml,L3b,31.96807134580206,0.0,5,40.36998241587827,0.0,5,21.898873863897396,0.0,5,18.53195818052027,0.0,5,27.56852063331133,0.0,5,480.0,0.0,5
physics_only,L0,35.145474458491364,2.066648094333515,5,48.0037419872425,2.9909478448183173,5,22.09092025318333,1.5210460171301154,5,18.756265266359772,1.5924691790570007,5,31.629094985334138,2.505505820337872,5,600.0,0.0,5
physics_only,L1,34.674462075480264,3.9198894255851022,5,48.2814646196788,3.984830435823459,5,23.1924098052976,0.9797777322188281,5,19.407951690642072,1.8476449936520383,5,33.59649427655647,1.5703177001147306,5,570.8,86.03603896042634,5
physics_only,L2,36.89706031342474,7.558406966027911,5,50.23796427612343,12.842360421240999,5,18.54172768751203,1.8118605347805927,5,17.083972287610298,2.8812552220579746,5,22.636258726086872,2.3974238847794993,5,46.8,11.300442469213317,5
physics_only,L3,35.211885727184715,0.0,5,48.48698652120515,0.0,5,22.537168281430784,0.0,5,18.446238016879573,0.0,5,32.25119652212659,0.0,5,480.0,0.0,5
physics_only,L3b,35.211885727184715,0.0,5,48.48698652120515,0.0,5,22.537168281430784,0.0,5,18.446238016879573,0.0,5,32.25119652212659,0.0,5,480.0,0.0,5
random_forest,L0,24.484755090233314,1.011925081026054,5,35.222034806002775,1.7770846866779326,5,17.328949927603475,1.1509121620589533,5,11.822876397869598,0.4780819853741579,5,22.33029822523583,1.8733539440201423,5,600.0,0.0,5
random_forest,L1,26.644973204518855,3.1699389485995155,5,37.550609001304714,5.593265795338479,5,20.16291915654791,1.692916943000694,5,13.563889104015132,1.431403733645253,5,26.807657848957263,2.882570000020343,5,570.8,86.03603896042634,5
random_forest,L2,41.933886834872766,12.630329718042201,5,56.777680176898755,15.422585927261911,5,20.69481094296425,3.8164930245095894,5,18.66084360692969,4.571318503470454,5,24.713128096438417,4.951843559951866,5,46.8,11.300442469213317,5
random_forest,L3,43.76732099247615,0.12310024256402335,5,53.2163564428991,0.16889446000244962,5,33.19426583701121,0.10421206768830142,5,25.55508624878693,0.29795866908317503,5,38.00786867973899,0.0901907298081558,5,480.0,0.0,5
random_forest,L3b,44.77115082658811,0.24510151698253516,5,54.73859001881816,0.24725908628288415,5,33.15278243581147,0.17239165664720416,5,25.91471799042933,0.2731384973006402,5,38.91432609483813,0.1846242693030474,5,480.0,0.0,5
rated_range,L0,63.00314985294229,2.317706247968435,5,74.9308432306893,3.3326905115783148,5,54.05196849727529,3.575715952140121,5,36.7820954165345,0.9464600372636293,5,46.05156670666585,3.0548195209366744,5,600.0,0.0,5
rated_range,L1,65.64308355789419,4.175769660359432,5,77.37241247743023,3.79007013211481,5,59.79595391478504,7.584302188414007,5,39.81354108939575,6.054302726599533,5,50.89025205262253,5.820255486384234,5,570.8,86.03603896042634,5
rated_range,L2,49.689229809113684,6.9905302768305795,5,61.84177837206725,7.918066990269098,5,33.761418472827515,6.682381913581233,5,22.149377889095952,6.23185312274152,5,26.415837782892492,4.2887556400890166,5,46.8,11.300442469213317,5
rated_range,L3,64.38796833568242,0.0,5,76.43405348169276,0.0,5,56.594137866527106,0.0,5,37.55473018602103,0.0,5,47.986834127423066,0.0,5,480.0,0.0,5
rated_range,L3b,64.38796833568242,0.0,5,76.43405348169276,0.0,5,56.594137866527106,0.0,5,37.55473018602103,0.0,5,47.986834127423066,0.0,5,480.0,0.0,5
ridge,L0,25.401682579915413,0.7491012612204728,5,35.616913343179135,1.6224622901760775,5,18.145950619714956,1.128643591635349,5,12.767155180264279,0.4589724662270725,5,24.15623657212422,1.3536134482849485,5,600.0,0.0,5
ridge,L1,26.42949709423727,2.2124469109474805,5,35.85539058058606,4.177194131046643,5,19.623900800316896,1.4852017901935481,5,13.97315927926012,0.6009697155396263,5,26.613399481936277,2.7190622358071126,5,570.8,86.03603896042634,5
ridge,L2,33.03200881827545,4.705928634823238,5,41.420289278832435,6.830667304651127,5,18.815126359188717,3.402340801285876,5,16.145616560720775,1.809630013819683,5,16.704266426367138,1.894871379300199,5,46.8,11.300442469213317,5
ridge,L3,38.32738489539059,0.0,5,47.48173525887424,0.0,5,26.825452588881525,0.0,5,22.532671048192327,0.0,5,34.54778912501106,0.0,5,480.0,0.0,5
ridge,L3b,38.27673422682022,0.0,5,48.33847471793559,0.0,5,26.49181918604811,0.0,5,21.680888944073146,0.0,5,35.98604207048949,0.0,5,480.0,0.0,5
