model,variant,MAE_mean,MAE_std,MAE_count,RMSE_mean,RMSE_std,RMSE_count,MAPE_mean,MAPE_std,MAPE_count,medAPE_mean,medAPE_std,medAPE_count,range_km_MAE_mean,range_km_MAE_std,range_km_MAE_count,n_test_mean,n_test_std,n_test_count
gbm,with_hvac,31.325495573614127,0.0,5,43.85116413819498,0.0,5,20.192134106084502,0.0,5,14.068203521439624,0.0,5,20.55851839416276,0.0,5,1764.0,0.0,5
gbm,without_hvac,33.43408830032056,0.0,5,45.87025656067169,0.0,5,21.71176200822739,0.0,5,15.694171060901633,0.0,5,21.822735174140256,0.0,5,1764.0,0.0,5
hybrid_physics_ml,with_hvac,26.481381151361813,0.0,5,39.12890085955179,0.0,5,15.994667643914033,0.0,5,11.05142311070821,0.0,5,16.121712385369104,0.0,5,1764.0,0.0,5
hybrid_physics_ml,without_hvac,27.416060066893323,0.0,5,39.66289619529136,0.0,5,16.704421768506318,0.0,5,12.423531690509636,0.0,5,16.821101738737827,0.0,5,1764.0,0.0,5
physics_only,with_hvac,50.640588204288726,0.0,5,71.58474284766419,0.0,5,26.734765412010468,0.0,5,23.721107746372503,0.0,5,35.61525847148465,0.0,5,1764.0,0.0,5
physics_only,without_hvac,50.640588204288726,0.0,5,71.58474284766419,0.0,5,26.734765412010468,0.0,5,23.721107746372503,0.0,5,35.61525847148465,0.0,5,1764.0,0.0,5
random_forest,with_hvac,32.98625766711784,0.03844248171838148,5,46.36265431432237,0.04227405251336942,5,21.559832448228057,0.023288647733368317,5,14.442291765224018,0.15520488500577972,5,21.11938126498428,0.05187447810950784,5,1764.0,0.0,5
random_forest,without_hvac,34.20710111498082,0.059111705146379645,5,47.23318783172523,0.06483993307653828,5,22.403996505575936,0.040280358974714214,5,15.513099613423975,0.10562188669017744,5,22.014203895655317,0.058027688747851316,5,1764.0,0.0,5
rated_range,with_hvac,54.5467245397392,0.0,5,66.90647302032708,0.0,5,41.67096944528654,0.0,5,28.110115692488925,0.0,5,33.75032863641694,0.0,5,1764.0,0.0,5
rated_range,without_hvac,54.5467245397392,0.0,5,66.90647302032708,0.0,5,41.67096944528654,0.0,5,28.110115692488925,0.0,5,33.75032863641694,0.0,5,1764.0,0.0,5
ridge,with_hvac,36.48599483495899,0.0,5,48.63862247684748,0.0,5,23.62576795000596,0.0,5,18.060976946643887,0.0,5,24.396851919543177,0.0,5,1764.0,0.0,5
ridge,without_hvac,38.684237180020624,0.0,5,50.59338504816588,0.0,5,25.102572052536924,0.0,5,19.58674726540426,0.0,5,25.68888263523944,0.0,5,1764.0,0.0,5
