model,protocol,MAE_mean,MAE_std,MAE_count,RMSE_mean,RMSE_std,RMSE_count,MAPE_mean,MAPE_std,MAPE_count,medAPE_mean,medAPE_std,medAPE_count,range_km_MAE_mean,range_km_MAE_std,range_km_MAE_count,n_test_mean,n_test_std,n_test_count
gbm,L0,22.64941577368698,0.4488984309782243,5,32.69270614842951,1.1638866243756227,5,15.903679499954213,0.6785351510344201,5,10.783254460254172,0.40643669066169896,5,20.60657812772534,1.1422243972523425,5,600.0,0.0,5
gbm,L1,24.10161374930932,2.0989578965740745,5,34.41340242836993,3.925112762235437,5,18.06377568280877,1.4178086736892297,5,12.128608095670296,0.5487459469997564,5,24.061000974259922,2.5559994438580826,5,570.8,86.03603896042634,5
hybrid_physics_ml,L0,16.72636542318411,0.5021650474757173,5,24.904369878403273,1.8978425639682577,5,11.32873178326357,0.268907295914521,5,8.398173729096161,0.5247756385824947,5,16.047980462449807,1.250149172636299,5,600.0,0.0,5
hybrid_physics_ml,L1,19.15480579373813,1.2380611759685896,5,29.436368080827812,2.466900841574803,5,13.486577689182809,0.7917870779181595,5,9.438712715655292,0.34902165428906695,5,19.70789110378848,1.9295057720728843,5,570.8,86.03603896042634,5
physics_only,L0,35.145474458491364,2.066648094333515,5,48.0037419872425,2.9909478448183173,5,22.09092025318333,1.5210460171301154,5,18.756265266359772,1.5924691790570007,5,31.629094985334138,2.505505820337872,5,600.0,0.0,5
physics_only,L1,34.674462075480264,3.9198894255851022,5,48.2814646196788,3.984830435823459,5,23.1924098052976,0.9797777322188281,5,19.407951690642072,1.8476449936520383,5,33.59649427655647,1.5703177001147306,5,570.8,86.03603896042634,5
random_forest,L0,24.484755090233314,1.0119250810260532,5,35.222034806002775,1.7770846866779326,5,17.328949927603475,1.150912162058954,5,11.822876397869605,0.4780819853741512,5,22.33029822523583,1.8733539440201414,5,600.0,0.0,5
random_forest,L1,26.644973204518855,3.169938948599514,5,37.550609001304714,5.593265795338483,5,20.16291915654791,1.692916943000694,5,13.563889104015129,1.4314037336452454,5,26.807657848957263,2.882570000020345,5,570.8,86.03603896042634,5
rated_range,L0,63.00314985294229,2.317706247968435,5,74.9308432306893,3.3326905115783148,5,54.05196849727529,3.575715952140121,5,36.7820954165345,0.9464600372636293,5,46.05156670666585,3.0548195209366744,5,600.0,0.0,5
rated_range,L1,65.64308355789419,4.175769660359432,5,77.37241247743023,3.79007013211481,5,59.79595391478504,7.584302188414007,5,39.81354108939575,6.054302726599533,5,50.89025205262253,5.820255486384234,5,570.8,86.03603896042634,5
ridge,L0,25.401682579915413,0.7491012612204728,5,35.616913343179135,1.6224622901760775,5,18.145950619714956,1.128643591635349,5,12.767155180264279,0.4589724662270725,5,24.15623657212422,1.3536134482849485,5,600.0,0.0,5
ridge,L1,26.42949709423727,2.2124469109474805,5,35.85539058058606,4.177194131046643,5,19.623900800316896,1.4852017901935481,5,13.97315927926012,0.6009697155396263,5,26.613399481936277,2.7190622358071126,5,570.8,86.03603896042634,5
