crr,cd_a,drivetrain_eff,loss_name,loss,mape,bias,converged
0.004,0.6611999999999999,0.7820240152061639,abs_rel,0.23526647989748536,23.526647989748536,-4.221836555608047,True
0.006858919851448761,0.6611999999999999,0.9273023944518619,abs_rel,0.22333146782558946,22.333146782558945,-7.6457708605323305,True
0.004,0.6611999999999999,0.7949252368492962,abs_rel,0.2601468066071899,26.01468066071899,-5.764605866189381,True
0.004,0.6611999999999999,0.8306048238510887,abs_rel,0.2354257336487963,23.54257336487963,-4.278197990359832,False
0.009887057112476878,0.6611999999999999,0.8747968966166197,abs_rel,0.18886138241259284,18.886138241259285,-2.826010580643556,True
0.009151418975874749,0.6611999999999999,0.8893662539304318,abs_rel,0.19719553702050238,19.719553702050238,-3.330783537103134,True
0.005743728869123266,0.6611999999999999,0.8495731460985299,abs_rel,0.20690995152440878,20.690995152440877,-5.017047572669987,True
0.004,0.6611999999999999,0.8351039210364094,abs_rel,0.22459148508051593,22.459148508051594,-2.7033630626337275,False
0.004,0.6611999999999999,0.7876932790768223,abs_rel,0.21841483624579947,21.841483624579947,-6.487821638041471,True
0.004,0.6611999999999999,0.7635604153508243,abs_rel,0.22796490620633977,22.79649062063398,-2.2030773964021098,True
0.004,0.6611999999999999,0.7949252395847431,abs_rel,0.22985881201176023,22.985881201176024,-5.275978412711258,True
0.006169645980281861,0.6611999999999999,0.8028579966546358,abs_rel,0.20765917041148324,20.765917041148324,-2.2444549525703925,True
0.004,0.6611999999999999,0.7500104812801861,abs_rel,0.2481343945769217,24.813439457692173,-5.0455289609882215,True
0.004,0.6611999999999999,0.7593437930927541,abs_rel,0.211882287890737,21.188228789073698,-4.193138835880125,True
0.013207080484419226,0.6611999999999999,0.9799999999999983,abs_rel,0.19246410488571894,19.246410488571893,-2.351873655546506,True
0.009169575236277136,0.6611999999999999,0.8897593365908817,abs_rel,0.2084526053632934,20.84526053632934,-4.657169157633434,True
0.00892713910947753,0.6611999999999999,0.8905643065399357,abs_rel,0.21369791225268522,21.36979122526852,-4.810948467309124,True
0.007233131047836551,0.6611999999999999,0.8125793068918113,abs_rel,0.20899139380037293,20.899139380037294,-3.04016513059328,True
0.004478891053024779,0.6611999999999999,0.7660435195651041,abs_rel,0.2299780583582697,22.99780583582697,-3.6815133760291943,True
0.004,0.6611999999999999,0.7098232327998714,abs_rel,0.21686856443549307,21.686856443549306,-1.9397307304192029,True
0.010191547254504978,0.6611999999999999,0.8738582545092485,abs_rel,0.208615742765086,20.8615742765086,-2.165130811079631,True
0.004,0.6611999999999999,0.8006620444623349,abs_rel,0.23904872247654788,23.904872247654787,-6.217163124030406,True
0.004,0.6611999999999999,0.7924920129547881,abs_rel,0.23210475982859444,23.210475982859442,-4.658065952770453,True
0.007353793301011707,0.6611999999999999,0.7966100907968544,abs_rel,0.20305220256400233,20.305220256400233,-2.897689822517948,True
0.004,0.6611999999999999,0.7550703857039199,abs_rel,0.24943384873004107,24.943384873004106,-3.0542523661300556,True
0.004,0.6611999999999999,0.7278346348018043,abs_rel,0.22770873865278898,22.770873865278897,-2.6637047839657786,True
0.004,0.6611999999999999,0.7557305384428704,abs_rel,0.22552438962018947,22.552438962018947,-4.17458545569687,True
0.004,0.6611999999999999,0.7573294872897673,abs_rel,0.24680958199701228,24.680958199701227,-1.1967039202939467,True
0.004,0.6611999999999999,0.7417883784853238,abs_rel,0.2470843268537139,24.70843268537139,-1.760426236809049,True
0.004,0.6611999999999999,0.8006617953820211,abs_rel,0.2562790254639401,25.62790254639401,-5.924250013532141,True
0.004,0.6611999999999999,0.791395150933741,abs_rel,0.21786912900429362,21.78691290042936,-3.9385884188634064,True
0.004,0.6611999999999999,0.7573294697633193,abs_rel,0.24141113631585856,24.141113631585856,-2.2964384377126628,True
0.004,0.6611999999999999,0.6882878922433691,abs_rel,0.21615104110703742,21.615104110703744,0.335205849775816,True
0.004,0.6611999999999999,0.7814242218831507,abs_rel,0.21998816755123957,21.998816755123958,-4.771528480672773,True
0.004,0.6611999999999999,0.7753522738189053,abs_rel,0.23721149591146792,23.72114959114679,-2.3220893448137945,True
0.009787541400003168,0.6611999999999999,0.8849213717032793,abs_rel,0.18422278402339276,18.422278402339277,-2.2980284535651245,True
0.008798046111375692,0.6611999999999999,0.8925286825907509,abs_rel,0.2217700416654077,22.17700416654077,-2.534600588479918,True
0.004,0.6611999999999999,0.7594233469481122,abs_rel,0.20342010722550447,20.342010722550448,-3.9677100710404334,True
0.004,0.6611999999999999,0.78633208616271,abs_rel,0.22652293299285647,22.65229329928565,-4.095410731020264,True
0.004,0.6611999999999999,0.7468938694595745,abs_rel,0.2210487728443173,22.10487728443173,-3.670307506029528,True
0.004,0.6611999999999999,0.759423230274147,abs_rel,0.21898375786591534,21.898375786591533,-3.525853626990931,True
0.004,0.6611999999999999,0.7879787343444321,abs_rel,0.2473369236739822,24.73369236739822,-3.863476937509912,True
0.004,0.6611999999999999,0.7753522459503198,abs_rel,0.2317963286770276,23.17963286770276,-3.5245372449748005,True
0.004,0.6611999999999999,0.7845069266555126,abs_rel,0.21771376722066565,21.771376722066567,-3.752958590746627,True
0.004,0.6611999999999999,0.741788384103912,abs_rel,0.19344939231716,19.344939231715998,-4.324086812881711,True
0.009489072912073505,0.6611999999999999,0.9438351511743046,abs_rel,0.18571462814321976,18.571462814321976,-3.3520567938990204,True
0.004,0.6611999999999999,0.7249621324618515,abs_rel,0.18805807407797406,18.805807407797406,-3.008342064699712,True
0.004,0.6611999999999999,0.8460905331103711,abs_rel,0.24508391407791844,24.508391407791844,-5.580730169666683,True
0.004355484331945265,0.6611999999999999,0.7563520466185529,abs_rel,0.205556389444509,20.555638944450898,-2.747754773370561,True
