variant,crr,drivetrain_eff,mape,bias
nominal,0.009,0.89,22.537168281430787,-4.307999017359955
fit_eta_only,0.009,0.8839641656234658,22.529898662156,-3.5365181434656097
fit_crr_and_eta,0.005266839159487137,0.792626758689206,22.38070125291504,-3.360715060345359
